t,pwr
13.8,591.8878999999768
13.9,616.0738613861689
14.0,645.4903999999988
14.1,641.5571999999937
14.2,633.7160000000027
14.3,629.1803999999979
14.4,625.6488000000018
14.5,622.3068000000013
14.6,620.3127722772269
14.7,620.8004544554451
14.8,623.4165000000028
14.9,624.7509000000001
15.0,618.6595000000027
15.1,615.7642000000048
15.2,620.3579999999992
15.3,623.1737000000016
15.4,623.630495049505
15.5,621.7800000000032
15.6,617.42
15.7,610.235
15.8,599.7699999999859
15.9,587.31
16.0,636.1001980196769
16.1,700.3131722772298
16.2,705.8241000000071
16.3,701.1284999999997
16.4,699.5971999999997
16.5,697.0736000000029
16.6,691.8858999999984
16.7,680.6407000000138
16.8,671.8866970297025
16.9,660.352435643557
17.0,646.763600000003
17.1,642.275599999998
17.2,641.518799999998
17.3,642.1979999999992
17.4,639.9715999999988
17.5,641.673199999996
17.6,638.6103326732592
17.7,629.9352277227719
17.8,627.5381999999993
17.9,626.3726000000005
18.0,625.2299000000014
18.1,631.5157000000097
18.2,635.7442000000027
18.3,629.5112999999965
18.4,623.5949504950513
18.5,621.8007999999945
18.6,625.6888000000034
18.7,630.2691999999993
18.8,635.9180000000053
18.9,640.9267999999994
19.0,636.7498000000189
19.1,630.3364910891111
19.2,633.2214950495049
19.3,637.0005000000046
19.4,639.3265000000001
19.5,641.5169999999947
19.6,641.0559999999992
19.7,631.3210000000153
19.8,617.8289999999845
19.9,604.3585148514821
20.0,592.3712000000094
20.1,632.1512000000376
20.2,692.3527999999953
20.3,695.1715999999999
20.4,695.8052000000006
20.5,697.9043999999975
20.6,697.9187999999988
20.7,695.3644554455457
20.8,695.6851000000016
20.9,697.7218999999991
21.0,699.5764999999983
21.1,699.3013999999976
21.2,703.0342999999905
21.3,710.9382999999999
21.4,711.2427999999995
21.5,709.439255445547
21.6,704.3445999999963
21.7,700.5752000000014
21.8,703.9310000000104
21.9,704.0950000000073
22.0,694.1366000000005
22.1,682.8999999999784
22.2,675.9641584158351
22.3,684.0766999999931
22.4,678.8528000000009
22.5,676.2940000000007
22.6,675.4890000000003
22.7,667.628100000004
22.8,658.5743000000036
22.9,660.9678999999996
23.0,662.615841584156
23.1,657.724
23.2,648.794
23.3,651.3880000000064
23.4,658.014
23.5,665.8459999999952
23.6,670.022
23.7,672.39
23.8,680.5031683168569
23.9,690.6879999999998
24.0,689.4005000000013
24.1,686.5860999999991
24.2,682.5605000000027
24.3,678.412999999999
24.4,673.7229999999988
24.5,667.6673267326773
24.6,660.2198613861351
24.7,654.2500000000013
24.8,652.2531999999999
24.9,652.6760000000007
25.0,653.5438000000003
25.1,651.9023999999985
25.2,648.6484000000012
25.3,646.5312118811876
25.4,643.5999752475257
25.5,637.1303000000108
25.6,630.101999999995
25.7,622.2617000000014
25.8,612.1731999999914
25.9,599.3704000000021
26.0,586.3792000000204
26.1,574.2199999999916
26.2,587.7792000000052
26.3,626.3044000000048
26.4,628.4731999999997
26.5,627.1811999999967
