t,pwr
12.4,353.3792000000005
12.5,353.11199999999974
12.6,353.2055999999999
12.7,352.7011999999995
12.8,353.01599999999956
12.9,353.03
13.0,353.07749999999993
13.1,352.8045000000003
13.2,353.0655000000003
13.3,353.30799999999977
13.4,353.32
13.5,352.8830000000005
13.6,352.9169999999999
13.7,352.9675000000001
13.8,352.8195049504952
13.9,352.5843999999997
14.0,352.6733999999999
14.1,352.80219999999986
14.2,352.81
14.3,352.6878000000001
14.4,352.57659999999987
14.5,352.7109999999999
14.6,352.80459999999994
14.7,352.70762376237633
14.8,352.4953376237625
14.9,352.7311000000004
15.0,353.0940999999998
15.1,352.6085000000004
15.2,352.79319999999984
15.3,352.8565
15.4,353.18550000000056
15.5,353.0054000000001
15.6,352.78540000000015
15.7,352.889702970297
15.8,352.5136000000002
15.9,352.7008000000004
16.0,352.86719999999997
16.1,352.4936000000002
16.2,353.0487999999998
16.3,353.1
16.4,353.1
16.5,352.79640000000006
16.6,352.85198019801976
16.7,352.86
16.8,352.99649999999997
16.9,353.01
17.0,352.6096000000001
17.1,352.8884999999999
17.2,352.9837
17.3,352.74430000000007
17.4,352.7473
17.5,352.8501
17.6,352.985603960396
17.7,352.79299999999995
17.8,352.887
17.9,352.78299999999996
18.0,352.698
18.1,353.05899999999997
18.2,352.7219999999999
18.3,353.157
18.4,353.111
18.5,353.1980198019802
18.6,352.9163000000006
18.7,352.5239999999999
18.8,352.48
18.9,352.73810000000014
19.0,353.02810000000005
19.1,353.1578999999998
19.2,352.7338999999999
19.3,352.84020000000004
19.4,352.78069306930684
19.5,352.9812000000001
19.6,353.1859999999997
19.7,352.9019999999998
19.8,352.95680000000004
19.9,352.77639999999985
20.0,352.84680000000003
20.1,352.6840000000003
20.2,352.75680000000006
20.3,352.6741584158417
20.4,352.65999999999997
20.5,352.65999999999997
20.6,352.8339999999997
20.7,352.78169999999994
20.8,352.77
20.9,352.86570000000006
21.0,352.7842999999999
21.1,352.94399999999973
21.2,352.79772277227704
21.3,352.8645999999999
21.4,352.5187999999996
21.5,352.7266000000003
21.6,352.75280000000004
21.7,352.75
21.8,352.6726000000001
21.9,352.7546000000001
22.0,352.8474000000001
22.1,352.95349999999985
22.2,352.70649999999966
22.3,352.8299999999998
22.4,352.68999999999977
22.5,352.7534999999999
22.6,352.77
22.7,352.77
22.8,352.75300000000004
22.9,352.936074257426
23.0,352.8774257425743
23.1,352.6920000000002
23.2,352.9204000000004
