t,pwr
52.1,308.113
52.2,308.1222
52.3,308.1966
52.4,308.14673267326737
52.5,308.1565
52.6,308.2065
52.7,308.1616
52.8,308.1327
52.9,308.10831683168317
53.0,308.0568
53.1,308.11199999999997
53.2,308.08311287128714
53.3,308.0740851485149
53.4,308.1013
53.5,308.00350000000003
53.6,308.00920792079205
53.7,308.03700000000003
53.8,308.047
53.9,308.1192376237624
54.0,308.1569613861386
54.1,308.1117
54.2,308.1176
54.3,308.0890099009901
54.4,308.0632
54.5,308.10080000000005
54.6,308.0384
54.7,308.0740594059406
54.8,308.1368
54.9,308.1036306930693
55.0,308.113
55.1,308.1168
55.2,308.11
55.3,308.14959999999996
55.4,308.1439920792079
55.5,308.149603960396
55.6,308.18600000000004
55.7,308.10900000000004
55.8,308.11199999999997
55.9,308.1206930693069
56.0,308.0716
56.1,308.1012
56.2,308.1364
56.3,308.09564356435646
56.4,308.0952
56.5,308.0848
56.6,308.08871287128716
56.7,308.16200000000003
56.8,308.11940000000004
56.9,308.1258
57.0,308.1538613861386
57.1,308.0829
57.2,308.1071
57.3,308.1622
57.4,308.12168316831685
57.5,308.114
57.6,308.106
57.7,308.072
57.8,308.0956435643564
57.9,308.0787
58.0,308.0972
58.1,308.1536
58.2,308.0874
58.3,308.0416831683168
58.4,308.0674
58.5,308.0452
58.6,308.0664
58.7,308.1000574257426
58.8,308.08294257425746
58.9,308.1327
59.0,308.123
59.1,308.08000000000004
59.2,308.09693069306934
59.3,308.0596
59.4,308.0424
59.5,308.0544
59.6,308.00564356435643
59.7,307.9755
59.8,307.958
59.9,307.907
60.0,307.88
60.1,307.87995445544556
60.2,307.85839999999996
60.3,307.8886
60.4,307.8922
60.5,307.87620000000004
60.6,307.92742574257426
60.7,307.89639999999997
60.8,307.8559
60.9,307.87530000000004
61.0,307.8590099009901
61.1,307.8608
61.2,307.8904
61.3,307.8636
61.4,307.8660396039604
61.5,307.8541
61.6,307.82529999999997
61.7,307.8859
61.8,307.8896039603961
61.9,307.895
62.0,307.935
62.1,307.885
62.2,307.8746534653465
62.3,307.9149
62.4,307.9004
62.5,307.92366336633665
62.6,307.9508
62.7,307.93
62.8,307.96326732673265
62.9,307.97180000000003
63.0,307.9588
63.1,308.0082
