t,pwr
0.0,78.29
0.1,306.7140155246372
0.2,306.7458415841584
0.3,306.6812
0.4,306.70439999999996
0.5,306.7358
0.6,306.6798
0.7,306.6442
0.8,306.6314
0.9,306.6128
1.0,306.5842
1.1,306.53742574257427
1.2,306.5385
1.3,306.557
1.4,306.5685
1.5,306.502
1.6,306.54949999999997
1.7,306.594
1.8,306.549
1.9,306.54
2.0,306.5988
2.1,306.6352
2.2,306.6316
2.3,306.5964
2.4,306.5648
2.5,306.6272
2.6,306.6148
2.7,306.61856633663365
2.8,306.6116495049505
2.9,306.6681
3.0,306.68
3.1,306.597
3.2,306.5551
3.3,306.5998
3.4,306.6017
3.5,306.6
3.6,306.6492
3.7,306.6764
3.8,306.6964
3.9,306.6508
4.0,306.64
4.1,306.7056
4.2,306.7364
4.3,306.7319623762376
4.4,306.7299811881188
4.5,306.7138
4.6,306.6857
4.7,306.66380000000004
4.8,306.65999999999997
4.9,306.62760000000003
5.0,306.6524
5.1,306.619900990099
5.2,306.602
5.3,306.616
5.4,306.604
5.5,306.528
5.6,306.454
5.7,306.472
5.8,306.488
5.9,306.514
6.0,306.49623762376234
6.1,306.4979
6.2,306.5316
6.3,306.56370000000004
6.4,306.57
6.5,306.6095
6.6,306.6832
6.7,306.67629999999997
6.8,306.6463
6.9,306.6712871287129
7.0,306.6956
7.1,306.7468
7.2,306.721
7.3,306.7022
7.4,306.70000000000005
7.5,306.661
7.6,306.65
7.7,306.6731683168317
7.8,306.68
7.9,306.6415
8.0,306.6146
8.1,306.6254
8.2,306.6454
8.3,306.5961
8.4,306.5415
8.5,306.5683475247525
8.6,306.55715247524756
8.7,306.50440000000003
8.8,306.4596
8.9,306.4424
9.0,306.4628
9.1,306.50800000000004
9.2,306.4516
9.3,306.4756
9.4,306.55772277227726
9.5,306.51250000000005
9.6,306.5125
9.7,306.5425
9.8,306.5875
9.9,306.6225
10.0,306.6075
10.1,306.5625
10.2,306.6093316831683
10.3,306.61522574257424
10.4,306.5878
10.5,306.55780000000004
10.6,306.5796
10.7,306.5604
10.8,306.49080000000004
